Movement,Nose.x,Nose.y,Neck.x,Neck.y,RShoulder.x,RShoulder.y,RElbow.x,RElbow.y,RWrist.x,RWrist.y,LShoulder.x,LShoulder.y,LElbow.x,LElbow.y,LWrist.x,LWrist.y,MidHip.x,MidHip.y,RHip.x,RHip.y,RKnee.x,RKnee.y,RAnkle.x,RAnkle.y,LHip.x,LHip.y,LKnee.x,LKnee.y,LAnkle.x,LAnkle.y,REye.x,REye.y,LEye.x,LEye.y,REar.x,REar.y,LEar.x,LEar.y,LBigToe.x,LBigToe.y,LSmallToe.x,LSmallToe.y,LHeel.x,LHeel.y,RBigToe.x,RBigToe.y,RSmallToe.x,RSmallToe.y,RHeel.x,RHeel.y
16,589.9324,131.95113,598.9987,200.17928,553.8385,200.18127,531.13336,290.73297,526.54425,358.78217,640.124,200.16185,667.1353,290.68774,653.5868,363.31213,594.8407,376.73898,563.04205,376.78357,567.49854,485.8662,581.01117,599.05927,630.7333,376.72363,630.831,485.85336,630.8278,594.83746,572.034,123.14584,594.83453,123.147255,562.9832,136.52042,626.3603,127.6635,612.74805,621.92755,630.9812,621.91254,630.7622,603.64636,571.9037,621.8531,562.8154,612.85626,594.39746,603.79956
16,585.63983,131.96278,598.9983,200.17258,553.83966,200.17699,531.156,290.7477,526.5435,358.80215,640.1187,200.1532,667.1288,290.67688,653.58856,363.3128,594.84406,376.7227,563.0503,376.76382,567.4841,485.84894,581.0087,599.0557,630.7316,376.70682,630.8199,485.8356,630.8262,594.8252,572.0018,123.14894,594.807,123.154755,562.97766,136.57907,626.345,127.66832,608.35266,621.9091,630.95184,621.90326,630.7779,603.633,567.59235,621.846,562.8003,612.8452,594.40063,603.79364
15,585.63684,131.9613,598.99786,200.16902,553.83905,200.17168,531.1538,290.73627,526.5346,358.8166,640.11975,200.15231,667.1199,290.6862,653.5912,363.31696,594.83417,376.70395,563.04175,376.744,567.4946,485.85056,581.016,599.05035,630.7222,372.489,630.8142,485.83224,630.8221,594.8333,571.99786,123.14649,594.8047,123.153175,562.97205,136.57771,626.34204,127.665375,608.3545,621.9196,630.9503,621.9178,630.7705,603.64215,567.6009,621.84015,562.80963,612.8365,594.40356,603.78723
15,585.6275,131.9641,598.9978,200.17227,553.84216,200.17421,531.166,290.73157,526.5427,358.8066,640.12006,200.15904,667.12195,290.6835,653.5993,363.30173,594.8388,372.49353,563.0479,376.73654,567.4939,485.83566,581.015,599.0371,630.72687,372.48282,630.82404,485.81827,630.82605,594.81726,571.987,123.14582,594.7991,123.155045,562.9794,136.57304,626.33575,127.66691,612.72314,621.91235,630.96796,621.9012,630.7651,599.4384,571.9012,621.83105,562.8165,612.82697,594.402,603.7685
14,585.60474,131.96852,598.99457,200.1706,553.8287,200.17493,531.1604,290.73547,526.52716,358.82166,640.1259,200.15695,667.1218,290.6793,653.60297,363.28326,594.8332,376.70914,563.0402,376.75336,567.49384,485.8459,581.0155,599.03613,630.7224,372.49136,630.8325,485.82773,630.834,594.8315,571.9599,123.14709,594.78375,123.15277,562.9597,136.60133,626.34033,127.65987,612.7308,621.9186,630.97516,621.9104,630.7822,603.63556,571.9052,621.8265,562.82074,612.8235,594.4017,603.7652
14,585.598,131.96881,598.9948,200.17348,553.8284,200.17699,531.1702,290.73532,526.5183,358.82108,640.127,200.1616,667.1171,290.68738,653.6068,363.28717,594.84,376.70407,563.0472,376.7473,567.49805,485.85123,581.01135,599.04376,630.72876,372.48566,630.82904,485.83237,630.82574,594.8359,571.9525,123.151405,594.7782,123.151146,562.95337,136.61691,626.33673,127.6602,608.3426,621.9247,630.94476,621.9295,630.78436,603.63513,571.89606,621.82776,562.8178,612.8249,594.4001,603.77167
13,585.58734,131.96962,599.00336,200.17761,553.8395,200.17798,531.159,290.75458,526.53613,358.8157,640.13885,200.16608,667.1165,290.7383,653.5971,363.31152,598.96576,376.75067,563.06445,376.79248,567.50555,485.89868,581.0116,599.047,630.7483,376.73544,630.825,485.86716,630.8234,594.8362,571.9321,123.152016,594.7697,123.14804,562.94525,136.63203,626.33356,127.656456,608.33826,621.9091,630.93225,621.9166,630.7844,603.6327,567.6,621.8148,562.8107,612.8068,594.4034,603.77264
12,585.5911,131.96085,599.005,200.17662,553.8472,200.1782,531.15283,290.77817,526.53143,358.8139,640.1421,200.16408,667.1155,290.74203,653.5657,363.3226,594.8491,376.7457,563.0557,376.78888,567.4967,485.89874,581.013,599.0532,630.7403,376.73172,630.8266,485.86642,630.8154,594.8387,571.92737,123.14779,594.7724,123.14112,562.9552,136.61557,626.32947,127.65481,608.3358,621.90845,630.9253,621.91675,630.77734,603.6322,571.89575,621.82666,562.8165,612.821,594.406,603.7793
12,585.5866,131.96536,599.003,200.17375,553.85236,200.17633,531.1722,290.79013,526.53925,358.83975,640.13385,200.16312,667.11,290.75778,653.5492,363.33282,594.84656,376.7493,563.0563,376.7884,567.49677,485.8999,581.0144,599.0528,630.7362,376.73904,630.82245,485.8731,630.8134,594.82855,571.9217,123.15171,594.76575,123.14341,562.9643,136.62042,626.3218,127.649826,608.34,621.8998,630.9294,621.9035,630.76776,599.43884,571.89886,621.8284,562.81805,612.822,594.40656,603.77844
11,585.59314,131.96428,598.9956,200.1826,553.8403,200.18498,531.1601,290.79587,526.5411,358.82626,640.13916,200.1719,667.12146,290.75632,653.58813,363.3089,594.8317,376.73123,563.03986,376.7769,567.50507,485.8954,581.0262,599.04834,630.7252,376.7175,630.8343,485.86432,630.8184,594.8231,571.9333,123.149,594.772,123.146454,562.9761,136.60367,626.31995,127.65448,608.3397,621.8936,630.9309,621.8995,630.7753,599.4303,571.896,621.82275,562.8172,612.81323,594.41547,603.7741
11,585.5748,131.95827,598.9933,200.18236,553.8414,200.1865,531.13776,290.82108,526.5343,358.8899,640.1349,200.17259,667.12,290.74557,653.5934,363.3136,594.8231,376.74323,563.0325,376.7904,567.4941,485.90793,581.03516,599.056,630.71606,376.72964,630.83014,485.87332,630.82275,594.8375,571.90704,123.14088,594.76385,123.136665,562.9682,136.58676,626.3172,127.650826,608.334,621.89856,630.92834,621.90765,630.7937,603.62823,571.89935,621.8233,562.82275,612.8179,594.42255,603.7831
10,585.579,131.96426,598.9986,200.18404,553.8537,200.18623,531.1478,290.8319,526.5441,358.88895,640.13873,200.17787,667.131,290.72247,653.6481,363.28552,594.8165,376.72507,563.0291,376.7747,567.49396,485.8824,581.024,599.0477,630.70746,376.7094,630.82355,485.84552,630.8125,594.8527,571.9186,123.14623,594.76624,123.14632,562.9887,136.5879,626.3138,127.65772,608.269,621.91,630.8893,621.9304,630.80927,603.6385,567.5782,621.8123,562.8028,612.80743,594.4178,603.76764
10,585.58417,131.9609,598.99896,200.18733,553.86096,200.18655,531.1569,290.83078,526.55225,363.25952,640.1338,200.18143,667.1369,290.71332,653.66376,363.2568,594.8051,376.70456,563.02264,376.7548,567.4906,485.85687,581.0229,599.0395,630.6935,372.48767,630.8199,485.82382,630.8096,594.85345,571.92096,123.14431,594.7692,123.1434,562.9915,136.58546,626.31573,127.65417,608.23706,621.90656,630.87286,621.93005,630.8186,603.6383,567.56366,621.80176,562.7935,612.7966,594.41815,603.75653
